Грудь, Жим штанги лежа на горизонтальной скамье, 4х12
Грудь, Жим штанги на наклонной скамье (30°), 4х12
Грудь, Жим гантелей лежа, 4х12
Грудь, Жим в тренажере лежа, 3х12
Грудь, Отжимания на брусьях, 4х12
Грудь, Разводка гантелей на горизонтальной скамье, 3х15
Грудь, Разводка гантелей на наклонной скамье, 3х15
Грудь, Сведение рук в тренажере «бабочка», 3х15
Грудь, Пулловер со штангой, 3х12
Грудь, Жим гантели одной рукой на скамье, 4х12 на каждую руку
Грудь, Сведение рук в кроссовере, 3х15
Грудь, Жим Свенда, 4х15
Грудь, Отжимания от пола с отягощением, 3хМаксимально